Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Length (mm),Number of Males,Number of Females,Number Unsexed,Total Number
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,330,6879931,5230161,0,12110092
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,340,5105409,3608882,0,8714291
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,350,1979716,2236469,0,4216185
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,360,5712989,3593318,0,9306307
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,370,5458339,7933369,0,13391708
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,380,5894548,12010771,0,17905320
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,390,5587186,16347198,0,21934384
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,400,4539084,13424080,0,17963164
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,410,4158857,10183586,0,14342444
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,420,628048,4338036,0,4966084
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,430,0,1377946,0,1377946
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,440,0,359848,0,359848
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,200,0,132863,0,132863
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,210,481091,100367,0,581458
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,220,589958,100367,0,690325
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,230,2611541,1097926,0,3709467
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,240,2805171,2359078,0,5164249
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,250,5997017,3863204,0,9860221
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,260,3640798,4324104,0,7964902
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,270,3380891,3357206,0,6738097
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,280,2554252,3686446,0,6240698
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,290,3790305,4044653,0,7834957
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,300,2654620,3035144,0,5689764
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,310,1381534,1743016,0,3124549
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,320,653001,1434150,0,2087151
